time,userid,id,lat,lng
Tue Feb 05 21:18:46 +0000 2019,20491093,1092895332348973056,40.02857974,-83.1150189
Tue Feb 05 00:53:56 +0000 2019,2953605550,1092587090074787845,40.0287018,-83.0910721
Mon Feb 04 17:23:09 +0000 2019,20491093,1092473649305669632,40.02857974,-83.1150189
Fri Feb 01 18:17:27 +0000 2019,2181501324,1091400150826782721,40.02878359,-83.11508908
Fri Feb 01 15:13:25 +0000 2019,2181501324,1091353834281029632,40.02878359,-83.11508908
Sun Feb 03 22:43:24 +0000 2019,22733920,1092191852428546048,40.0142666,-83.1328976
Sun Feb 10 21:30:56 +0000 2019,22976404,1094710330830143488,40.1261743,-82.9290696
Sun Feb 10 20:47:37 +0000 2019,422285341,1094699430127628289,40.12507,-82.93167
Sun Feb 10 19:46:03 +0000 2019,581403546,1094683937966673920,40.12577,-82.93154
Sun Feb 10 15:15:09 +0000 2019,173559634,1094615761484537856,40.1261743,-82.9290696
Sun Feb 10 11:19:25 +0000 2019,163944651,1094556438255435776,40.12577,-82.93154
Sat Feb 09 20:32:26 +0000 2019,19536182,1094333219925676032,40.12577,-82.93154
Fri Feb 08 22:27:50 +0000 2019,378825404,1093999875794989057,40.127,-82.93216
Fri Feb 08 18:35:10 +0000 2019,23320531,1093941321717272576,40.1261743,-82.9290696
Fri Feb 08 18:12:19 +0000 2019,581403546,1093935573780197377,40.12577,-82.93154
Fri Feb 08 14:13:39 +0000 2019,1011811424,1093875510684209152,40.1261743,-82.9290696
Thu Feb 07 22:54:40 +0000 2019,29475976,1093644241648025600,40.12329,-82.93044
Thu Feb 07 20:12:44 +0000 2019,581403546,1093603488985079808,40.12577,-82.93154
Wed Feb 06 18:59:54 +0000 2019,21800642,1093222773487394818,40.1261743,-82.9290696
Wed Feb 06 18:00:56 +0000 2019,21195790,1093207933591015426,40.1261743,-82.9290696
Wed Feb 06 12:29:40 +0000 2019,581403546,1093124567038447616,40.12603247,-82.93185745
Tue Feb 05 10:42:07 +0000 2019,581403546,1092735111311839237,40.12577,-82.93154
Tue Feb 05 01:57:10 +0000 2019,3593307856,1092603003863875584,40.12577,-82.93154
Mon Feb 04 22:27:18 +0000 2019,23320531,1092550188424548352,40.1261743,-82.9290696
Mon Feb 04 18:17:45 +0000 2019,369134529,1092487389392433152,40.12577,-82.93154
Mon Feb 04 17:49:24 +0000 2019,21195790,1092480254252175361,40.1261743,-82.9290696
Mon Feb 04 02:37:46 +0000 2019,65524998,1092250834585317377,40.12577,-82.93154
Mon Feb 04 02:37:09 +0000 2019,581157052,1092250677907058688,40.11833739,-82.9242288
Mon Feb 04 01:50:32 +0000 2019,2417898258,1092238947764367365,40.12577,-82.93154
Sun Feb 03 21:17:19 +0000 2019,195912782,1092170189028892673,40.12577,-82.93154
Sun Feb 03 17:57:19 +0000 2019,22976404,1092119856780963842,40.1261743,-82.9290696
Sun Feb 03 16:12:14 +0000 2019,625162940,1092093412243836930,40.12577,-82.93154
Sat Feb 02 17:59:34 +0000 2019,22149548,1091758038703210496,40.1261743,-82.9290696
Sat Feb 02 16:28:30 +0000 2019,581403546,1091735119679967232,40.12577,-82.93154
Fri Feb 01 13:38:02 +0000 2019,34936522,1091329831688638464,40.12,-82.92
Fri Feb 01 13:32:15 +0000 2019,34936522,1091328378458775554,40.12,-82.92
Fri Feb 01 13:08:01 +0000 2019,34936522,1091322279739437056,40.12,-82.92
Fri Feb 01 13:03:11 +0000 2019,581403546,1091321063357566976,40.12577,-82.93154
Fri Feb 01 10:29:39 +0000 2019,34936522,1091282422572957696,40.12,-82.92
Sat Feb 02 17:57:21 +0000 2019,930775286,1091757478608556033,40.13301,-83.08965
Fri Feb 01 16:44:13 +0000 2019,34936522,1091376687676301312,40.13,-83.07
Sat Feb 09 13:31:49 +0000 2019,1891168652,1094227368464379905,40.09833501,-83.12707143
Sat Feb 09 00:55:23 +0000 2019,1891168652,1094037007657984000,40.09833501,-83.12707143
Fri Feb 08 21:35:47 +0000 2019,1891168652,1093986777508036611,40.09833501,-83.12707143
Fri Feb 08 03:48:01 +0000 2019,23820271,1093718064535883776,40.0979,-83.1224
Thu Feb 07 23:20:59 +0000 2019,22454456,1093650864789544962,40.0998029,-83.1264069
Mon Feb 04 19:38:03 +0000 2019,930775286,1092507595083001862,40.09919,-83.12465
Mon Feb 04 18:47:13 +0000 2019,930775286,1092494805094092801,40.09919,-83.12465
Sun Feb 10 18:55:09 +0000 2019,23473569,1094671126595137536,40.0610096,-82.9587412
Wed Feb 06 23:40:23 +0000 2019,930775286,1093293356292235264,40.05956,-82.95302
Wed Feb 06 22:55:26 +0000 2019,930775286,1093282046565384193,40.05956,-82.95302
Thu Feb 07 23:48:22 +0000 2019,930775286,1093657756131827712,40.06143,-83.10282
Thu Feb 07 21:31:29 +0000 2019,930775286,1093623304999632896,40.06143,-83.10282
Wed Feb 06 22:55:26 +0000 2019,1719901410,1093282044468187137,40.06741,-83.10978784
Wed Feb 06 20:14:31 +0000 2019,930775286,1093241551432675330,40.0682,-83.1051
Wed Feb 06 19:00:46 +0000 2019,930775286,1093222990794424320,40.0682,-83.1051
Wed Feb 06 18:53:37 +0000 2019,930775286,1093221191656132608,40.0654,-83.10449
Fri Feb 01 16:05:59 +0000 2019,616751313,1091367064982380544,40.06741,-83.10978784
Sun Feb 10 17:24:54 +0000 2019,314161679,1094648415558852608,40.115674,-83.1327332
Sat Feb 09 18:30:16 +0000 2019,46961881,1094302478403723264,40.0067704,-83.0544867
Thu Feb 07 21:48:07 +0000 2019,46961881,1093627491695026176,40.0067704,-83.0544867
Thu Feb 07 17:00:30 +0000 2019,2756362826,1093555111442419712,40.002227,-83.033768
Thu Feb 07 13:04:28 +0000 2019,930775286,1093495712598409216,40.00665,-83.03423
Wed Feb 06 18:29:06 +0000 2019,46961881,1093215018961690624,40.0067704,-83.0544867
Mon Feb 04 13:27:20 +0000 2019,206678909,1092414304417046528,40.00732,-83.05051
Sun Feb 03 22:52:03 +0000 2019,46961881,1092194029305876480,40.0067704,-83.0544867
Sat Feb 02 20:38:23 +0000 2019,46961881,1091798005680754688,40.0067704,-83.0544867
Fri Feb 01 16:10:45 +0000 2019,17421851,1091368266042433536,40.00651473,-83.04475464
Fri Feb 01 15:14:29 +0000 2019,34936522,1091354104822185988,40.01,-83.03
Fri Feb 08 16:28:30 +0000 2019,930775286,1093909448232443905,39.87494,-83.00395
Fri Feb 08 14:51:35 +0000 2019,930775286,1093885055326400512,39.87494,-83.00395
Fri Feb 08 10:45:28 +0000 2019,930775286,1093823119855370247,39.87494,-83.00395
Thu Feb 07 22:50:53 +0000 2019,22733920,1093643288127500289,39.8814224,-83.003942
Tue Feb 05 15:27:53 +0000 2019,28457303,1092807028018360320,39.8814224,-83.003942
