time,userid,id,lat,lngtime,userid,id,lat,lngSun Feb 10 21:49:10 +0000 2019,348799939,1094714919965077504,40.00763153,-83.0249757
Sun Feb 10 03:53:56 +0000 2019,1170021908,1094444328871739392,39.9847252,-83.0400184
Sun Feb 10 03:51:35 +0000 2019,1170021908,1094443737869139974,39.9847252,-83.0400184
Sat Feb 09 01:37:08 +0000 2019,1170021908,1094047513919791104,39.9847252,-83.0400184
Fri Feb 08 23:01:16 +0000 2019,1170021908,1094008288637796352,39.9847252,-83.0400184
Sun Feb 10 20:15:57 +0000 2019,23320531,1094691460601933825,40.0992294,-83.1140771
Sun Feb 10 19:00:45 +0000 2019,23320531,1094672537928138752,40.0992294,-83.1140771
Sun Feb 10 18:18:11 +0000 2019,23214899,1094661822752276480,40.0992294,-83.1140771
Sun Feb 10 16:59:54 +0000 2019,193979061,1094642124060905472,40.0992294,-83.1140771
Sun Feb 10 16:56:37 +0000 2019,555601959,1094641296969322496,40.1024442,-83.1101269
Sun Feb 10 14:00:39 +0000 2019,22864216,1094597014438858752,40.0992294,-83.1140771
Sun Feb 10 13:53:08 +0000 2019,193979061,1094595121884983297,40.0992294,-83.1140771
Sat Feb 09 22:23:20 +0000 2019,856682460,1094361129005002753,40.10100452,-83.10974836
Sat Feb 09 20:37:21 +0000 2019,193979061,1094334458709270528,40.0992294,-83.1140771
Sat Feb 09 20:21:09 +0000 2019,22366062,1094330382072176640,40.0992294,-83.1140771
Sat Feb 09 18:32:16 +0000 2019,21195890,1094302981556584449,40.0992294,-83.1140771
Sat Feb 09 18:07:17 +0000 2019,22976404,1094296694630506502,40.0992294,-83.1140771
Sat Feb 09 17:30:29 +0000 2019,193979061,1094287430750920711,40.0992294,-83.1140771
Sat Feb 09 16:58:28 +0000 2019,23214899,1094279375678201856,40.0992294,-83.1140771
Sat Feb 09 16:26:21 +0000 2019,118562908,1094271292616847361,40.0992294,-83.1140771
Sat Feb 09 16:22:20 +0000 2019,23320531,1094270283542712320,40.0992294,-83.1140771
Sat Feb 09 15:57:38 +0000 2019,99878467,1094264067315789826,40.0992294,-83.1140771
Sat Feb 09 13:31:49 +0000 2019,1891168652,1094227368464379905,40.09833501,-83.12707143
Sat Feb 09 00:55:23 +0000 2019,1891168652,1094037007657984000,40.09833501,-83.12707143
Fri Feb 08 21:35:47 +0000 2019,1891168652,1093986777508036611,40.09833501,-83.12707143
Fri Feb 08 21:35:06 +0000 2019,23214899,1093986602861252609,40.0992294,-83.1140771
Fri Feb 08 19:35:18 +0000 2019,22060116,1093956456074727424,40.0992294,-83.1140771
Fri Feb 08 18:44:43 +0000 2019,37936115,1093943724520792064,40.0992294,-83.1140771
Fri Feb 08 17:13:11 +0000 2019,23320531,1093920689382453248,40.0992294,-83.1140771
Fri Feb 08 16:13:22 +0000 2019,314161679,1093905639871410176,40.0992294,-83.1140771
Fri Feb 08 15:51:10 +0000 2019,23320531,1093900052995526668,40.0992294,-83.1140771
